method_label,method,mode,train_seed,run_name,checkpoint_path,eval_seed,episode_rng_seed,episode_return,episode_cost,episode_length,success,violation_rate,min_clearance,path_length,start_pos,goal_pos,obstacle_pos,obstacle_radius,safe_margin,action_scale
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910007,847494194,-8.988205401764441,11.0,100,0.0,0.11,-0.03493039041757584,0.4900467691031736,"[0.46897536516189575, -0.1990162432193756, 0.25112536549568176]","[0.5407417416572571, 0.21002939343452454, 0.2852194011211395]","[0.49719566106796265, -0.01871640793979168, 0.22137270867824554]",0.07,0.13,0.03
STAR+Exec,star_v2,star_exec,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910007,314263618,-51.12858874082565,0.0,100,0.0,0.0,0.07021186769008636,2.3497617932152934,"[0.46897536516189575, -0.1990162432193756, 0.25112536549568176]","[0.5407417416572571, 0.21002939343452454, 0.2852194011211395]","[0.49719566106796265, -0.01871640793979168, 0.22137270867824554]",0.07,0.13,0.03
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,910008,1454706789,-1.3653508069366214,12.0,12,1.0,1.0,-0.12243054958060384,0.4676410034298897,"[0.46329838037490845, -0.1779516041278839, 0.2653532326221466]","[0.5869941711425781, 0.17438237369060516, 0.21584270894527435]","[0.5099503993988037, 0.022165726870298386, 0.22229884564876556]",0.07,0.13,0.03
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,910008,623441018,-1.1224780881404879,11.0,11,1.0,1.0,-0.06493392318487168,0.3668758384883404,"[0.46329838037490845, -0.1779516041278839, 0.2653532326221466]","[0.5869941711425781, 0.17438237369060516, 0.21584270894527435]","[0.5099503993988037, 0.022165726870298386, 0.22229884564876556]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910008,574398883,-11.78376921191812,99.0,100,0.0,0.99,-0.045346637368202214,0.3802670186632895,"[0.46329838037490845, -0.1779516041278839, 0.2653532326221466]","[0.5869941711425781, 0.17438237369060516, 0.21584270894527435]","[0.5099503993988037, 0.022165726870298386, 0.22229884564876556]",0.07,0.13,0.03
STAR+Exec,star_v2,star_exec,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910008,33838547,-50.587638239860524,0.0,100,0.0,0.0,0.10520329594612121,1.4008765403223151,"[0.46329838037490845, -0.1779516041278839, 0.2653532326221466]","[0.5869941711425781, 0.17438237369060516, 0.21584270894527435]","[0.5099503993988037, 0.022165726870298386, 0.22229884564876556]",0.07,0.13,0.03
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,910009,565321971,-1.0578519988059996,11.0,11,1.0,1.0,-0.09407216787338257,0.363421518355608,"[0.4692404270172119, -0.17034973204135895, 0.24742722511291504]","[0.5364141464233398, 0.15847492218017578, 0.24610121548175812]","[0.4742928743362427, -0.01769094541668892, 0.22137343883514404]",0.07,0.13,0.03
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,910009,1378862316,-0.7951359196007252,10.0,10,1.0,1.0,-0.08131136849522591,0.3136943746358156,"[0.4692404270172119, -0.17034973204135895, 0.24742722511291504]","[0.5364141464233398, 0.15847492218017578, 0.24610121548175812]","[0.4742928743362427, -0.01769094541668892, 0.22137343883514404]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910009,1429967157,-1.365557587593794,10.0,14,1.0,0.7142857142857143,-0.044973251521587376,0.3342886995524168,"[0.4692404270172119, -0.17034973204135895, 0.24742722511291504]","[0.5364141464233398, 0.15847492218017578, 0.24610121548175812]","[0.4742928743362427, -0.01769094541668892, 0.22137343883514404]",0.07,0.13,0.03
STAR+Exec,star_v2,star_exec,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910009,1963156805,-50.20237908780576,0.0,100,0.0,0.0,0.051590899825096126,0.6897818752859166,"[0.4692404270172119, -0.17034973204135895, 0.24742722511291504]","[0.5364141464233398, 0.15847492218017578, 0.24610121548175812]","[0.4742928743362427, -0.01769094541668892, 0.22137343883514404]",0.07,0.13,0.03
