task,env_id,method,method_key,seed,step,return_value,cost_value,cumulative_cost,success,source_file,source_kind
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,1,10000,0.0065860389793104,0.0,110.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s1/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,1,11000,0.1026087385130329,0.0,110.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s1/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,1,12000,-0.4219524015969338,0.0,110.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s1/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,1,13000,-0.0770083958361185,0.0,110.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s1/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,1,14000,-0.3258032759177307,0.0,110.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s1/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,2,1000,-0.47541841012698,232.0,232.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s2/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,2,2000,0.014963245661506,72.0,304.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s2/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,2,3000,-0.4781600314044899,0.0,304.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s2/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,2,4000,-0.2653954157871196,0.0,304.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s2/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,2,5000,1.3163545949988862,0.0,304.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s2/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,2,6000,-0.4777924082231275,70.0,374.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s2/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,2,7000,-0.6496850702014619,0.0,374.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s2/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,2,8000,-0.2825569620228658,0.0,374.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s2/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,2,9000,0.0219542346078782,0.0,374.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s2/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,2,10000,0.5412448049594571,0.0,374.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s2/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,2,11000,-0.5181652370107628,0.0,374.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s2/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,2,12000,-0.13450377309421,343.0,717.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s2/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,2,13000,-0.3512474372153966,0.0,717.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s2/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,2,14000,0.1526678589609881,0.0,717.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s2/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,3,1000,0.0664287101345475,0.0,0.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s3/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,3,2000,-0.1518541078752414,0.0,0.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s3/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,3,3000,-0.0811087607835332,0.0,0.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s3/train_episodes.csv,train_episode
