phase,task,method,seed,step,return_value,cost_value,cumulative_cost,source_file,source_kind
resume_300k,SafetyCarButton1-v0,current_only_v2,10,172000,24.552758438172376,245.0,41320.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,173000,9.746334285362135,341.0,41661.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,174000,23.983316417150494,257.0,41918.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,175000,13.894722050506806,204.0,42122.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,176000,5.731950521010406,358.0,42480.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,177000,18.20073671328865,92.0,42572.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,178000,17.767278526125132,222.0,42794.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,179000,18.973814238228986,307.0,43101.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,180000,15.441233752979143,334.0,43435.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,181000,24.889489508953215,14.0,43449.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
