eval_seed,mode,episode_reward,episode_cost,episode_length,success,violation_rate,collision_rate,min_clearance,path_length,fallback_rate,found_but_not_executed_rate,latency_ms,train_seed,run_name,candidates,margin,checkpoint
800017,star_exec,-1.1057915385812525,10.0,11,1.0,0.9090909090909091,0.9090909090909091,-0.00962626904249192,0.4041112270206213,1.0,0.0,2.53183360804211,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800018,raw,-1.1105302926898002,10.0,11,1.0,0.9090909090909091,0.9090909090909091,-0.017581078857183463,0.34695247560739517,0.0,0.0,1.8897723745216022,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800018,star_exec,-1.2152714706957344,10.0,11,1.0,0.9090909090909091,0.9090909090909091,-0.022216543257236487,0.40227825939655304,1.0,0.0,2.644126049496911,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800019,raw,-1.531543549448252,11.0,12,1.0,0.9166666666666666,0.9166666666666666,-0.023130502253770835,0.3844201322644949,0.0,0.0,2.0674383267760277,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800019,star_exec,-1.6272766232490548,10.0,12,1.0,0.8333333333333334,0.8333333333333334,-0.0008801069855690069,0.42964836582541466,1.0,0.0,3.2417591040333114,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800000,raw,-1.4612181641161444,7.0,11,1.0,0.6363636363636364,0.6363636363636364,0.01573340624570846,0.4631189703941345,0.0,0.0,2.7757683260874315,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800000,star_exec,-10.70645999806933,6.0,100,0.0,0.06,0.06,0.022479564249515527,1.6083800848573446,1.0,0.0,3.350065238773823,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800001,raw,-1.5313986141979696,7.0,11,1.0,0.6363636363636364,0.6363636363636364,-0.05418795876204968,0.49770165234804153,0.0,0.0,2.590824257243763,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800001,star_exec,-1.9406683287024502,7.0,12,1.0,0.5833333333333334,0.5833333333333334,0.005437925755977624,0.5528456829488277,1.0,0.0,3.3704983070492744,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800002,raw,-1.1738198547065262,10.0,11,1.0,0.9090909090909091,0.9090909090909091,-0.0611774005740881,0.3634316213428974,0.0,0.0,2.8011964803392235,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
